,CandleTime,TriggeredChecker,TakenAction
0,2023-06-01 00:00:00+00:00,start_time_checker,SKIP
1,2023-06-01 00:15:00+00:00,start_time_checker,SKIP
2,2023-06-01 00:30:00+00:00,start_time_checker,SKIP
3,2023-06-01 00:45:00+00:00,start_time_checker,SKIP
4,2023-06-01 01:00:00+00:00,start_time_checker,SKIP
5,2023-06-01 01:15:00+00:00,start_time_checker,SKIP
6,2023-06-01 01:30:00+00:00,start_time_checker,SKIP
7,2023-06-01 01:45:00+00:00,start_time_checker,SKIP
8,2023-06-01 02:00:00+00:00,start_time_checker,SKIP
9,2023-06-01 02:15:00+00:00,start_time_checker,SKIP
10,2023-06-01 02:30:00+00:00,start_time_checker,SKIP
11,2023-06-01 02:45:00+00:00,start_time_checker,SKIP
12,2023-06-01 03:00:00+00:00,start_time_checker,SKIP
13,2023-06-01 03:15:00+00:00,start_time_checker,SKIP
14,2023-06-01 03:30:00+00:00,start_time_checker,SKIP
15,2023-06-01 03:45:00+00:00,start_time_checker,SKIP
16,2023-06-01 04:00:00+00:00,start_time_checker,SKIP
17,2023-06-01 04:15:00+00:00,start_time_checker,SKIP
18,2023-06-01 04:30:00+00:00,start_time_checker,SKIP
19,2023-06-01 04:45:00+00:00,start_time_checker,SKIP
20,2023-06-01 05:00:00+00:00,start_time_checker,SKIP
21,2023-06-01 05:15:00+00:00,start_time_checker,SKIP
22,2023-06-01 05:30:00+00:00,start_time_checker,SKIP
23,2023-06-01 05:45:00+00:00,start_time_checker,SKIP
24,2023-06-01 06:00:00+00:00,,
25,2023-06-01 06:15:00+00:00,,
26,2023-06-01 06:30:00+00:00,,
27,2023-06-01 06:45:00+00:00,,
28,2023-06-01 07:00:00+00:00,,
29,2023-06-01 07:15:00+00:00,,
30,2023-06-01 07:30:00+00:00,,
31,2023-06-01 07:45:00+00:00,,
32,2023-06-01 08:00:00+00:00,,
33,2023-06-01 08:15:00+00:00,,
34,2023-06-01 08:30:00+00:00,,
35,2023-06-01 08:45:00+00:00,,
36,2023-06-01 09:00:00+00:00,,
37,2023-06-01 09:15:00+00:00,,
38,2023-06-01 09:30:00+00:00,,
39,2023-06-01 09:45:00+00:00,,
40,2023-06-01 10:00:00+00:00,,
41,2023-06-01 10:15:00+00:00,,
42,2023-06-01 10:30:00+00:00,,
43,2023-06-01 10:45:00+00:00,,
44,2023-06-01 11:00:00+00:00,,
45,2023-06-01 11:15:00+00:00,,
46,2023-06-01 11:30:00+00:00,,
47,2023-06-01 11:45:00+00:00,,
48,2023-06-01 12:00:00+00:00,,
49,2023-06-01 12:15:00+00:00,,
50,2023-06-01 12:30:00+00:00,,
51,2023-06-01 12:45:00+00:00,,
52,2023-06-01 13:00:00+00:00,,
53,2023-06-01 13:15:00+00:00,,
54,2023-06-01 13:30:00+00:00,,
55,2023-06-01 13:45:00+00:00,,
56,2023-06-01 14:00:00+00:00,,
57,2023-06-01 14:15:00+00:00,,
58,2023-06-01 14:30:00+00:00,,
59,2023-06-01 14:45:00+00:00,,
60,2023-06-01 15:00:00+00:00,,
61,2023-06-01 15:15:00+00:00,,
62,2023-06-01 15:30:00+00:00,,
63,2023-06-01 15:45:00+00:00,,
64,2023-06-01 16:00:00+00:00,,
65,2023-06-01 16:15:00+00:00,,
66,2023-06-01 16:30:00+00:00,,
67,2023-06-01 16:45:00+00:00,,
68,2023-06-01 17:00:00+00:00,,
69,2023-06-01 17:15:00+00:00,,
70,2023-06-01 17:30:00+00:00,,
71,2023-06-01 17:45:00+00:00,,
72,2023-06-01 18:00:00+00:00,,
73,2023-06-01 18:15:00+00:00,,
74,2023-06-01 18:30:00+00:00,,
75,2023-06-01 18:45:00+00:00,,
76,2023-06-01 19:00:00+00:00,,
77,2023-06-01 19:15:00+00:00,,
78,2023-06-01 19:30:00+00:00,,
79,2023-06-01 19:45:00+00:00,,
80,2023-06-01 20:00:00+00:00,,
81,2023-06-01 20:15:00+00:00,,
82,2023-06-01 20:30:00+00:00,,
83,2023-06-01 20:45:00+00:00,,
84,2023-06-01 21:00:00+00:00,,
85,2023-06-01 22:00:00+00:00,no_more_trades_time_checker,SKIP
86,2023-06-01 22:15:00+00:00,no_more_trades_time_checker,SKIP
87,2023-06-01 22:30:00+00:00,no_more_trades_time_checker,SKIP
88,2023-06-01 22:45:00+00:00,no_more_trades_time_checker,SKIP
89,2023-06-01 23:00:00+00:00,no_more_trades_time_checker,SKIP
90,2023-06-01 23:15:00+00:00,no_more_trades_time_checker,SKIP
91,2023-06-01 23:30:00+00:00,no_more_trades_time_checker,SKIP
92,2023-06-01 23:45:00+00:00,no_more_trades_time_checker,SKIP
93,2023-06-02 00:00:00+00:00,start_time_checker,SKIP
94,2023-06-02 00:15:00+00:00,start_time_checker,SKIP
95,2023-06-02 00:30:00+00:00,start_time_checker,SKIP
96,2023-06-02 00:45:00+00:00,start_time_checker,SKIP
97,2023-06-02 01:00:00+00:00,start_time_checker,SKIP
98,2023-06-02 01:15:00+00:00,start_time_checker,SKIP
99,2023-06-02 01:30:00+00:00,start_time_checker,SKIP
100,2023-06-02 01:45:00+00:00,start_time_checker,SKIP
101,2023-06-02 02:00:00+00:00,start_time_checker,SKIP
102,2023-06-02 02:15:00+00:00,start_time_checker,SKIP
103,2023-06-02 02:30:00+00:00,start_time_checker,SKIP
104,2023-06-02 02:45:00+00:00,start_time_checker,SKIP
105,2023-06-02 03:00:00+00:00,start_time_checker,SKIP
106,2023-06-02 03:15:00+00:00,start_time_checker,SKIP
107,2023-06-02 03:30:00+00:00,start_time_checker,SKIP
108,2023-06-02 03:45:00+00:00,start_time_checker,SKIP
109,2023-06-02 04:00:00+00:00,start_time_checker,SKIP
110,2023-06-02 04:15:00+00:00,start_time_checker,SKIP
111,2023-06-02 04:30:00+00:00,start_time_checker,SKIP
112,2023-06-02 04:45:00+00:00,start_time_checker,SKIP
113,2023-06-02 05:00:00+00:00,start_time_checker,SKIP
114,2023-06-02 05:15:00+00:00,start_time_checker,SKIP
115,2023-06-02 05:30:00+00:00,start_time_checker,SKIP
116,2023-06-02 05:45:00+00:00,start_time_checker,SKIP
117,2023-06-02 06:00:00+00:00,to_sell_order_1_checker,SELL 1%
118,2023-06-02 06:15:00+00:00,,
119,2023-06-02 06:30:00+00:00,,
120,2023-06-02 06:45:00+00:00,,
121,2023-06-02 07:00:00+00:00,,
122,2023-06-02 07:15:00+00:00,,
123,2023-06-02 07:30:00+00:00,,
124,2023-06-02 07:45:00+00:00,,
125,2023-06-02 08:00:00+00:00,,
126,2023-06-02 08:15:00+00:00,,
127,2023-06-02 08:30:00+00:00,,
128,2023-06-02 08:45:00+00:00,,
129,2023-06-02 09:00:00+00:00,,
130,2023-06-02 09:15:00+00:00,,
131,2023-06-02 09:30:00+00:00,,
132,2023-06-02 09:45:00+00:00,,
133,2023-06-02 10:00:00+00:00,,
134,2023-06-02 10:15:00+00:00,,
135,2023-06-02 10:30:00+00:00,,
136,2023-06-02 10:45:00+00:00,,
137,2023-06-02 11:00:00+00:00,,
138,2023-06-02 11:15:00+00:00,,
139,2023-06-02 11:30:00+00:00,,
140,2023-06-02 11:45:00+00:00,,
141,2023-06-02 12:00:00+00:00,,
142,2023-06-02 12:15:00+00:00,,
143,2023-06-02 12:30:00+00:00,,
144,2023-06-02 12:45:00+00:00,,
145,2023-06-02 13:00:00+00:00,,
146,2023-06-02 13:15:00+00:00,,
147,2023-06-02 13:30:00+00:00,,
148,2023-06-02 13:45:00+00:00,,
149,2023-06-02 14:00:00+00:00,,
150,2023-06-02 14:15:00+00:00,,
151,2023-06-02 14:30:00+00:00,,
152,2023-06-02 14:45:00+00:00,,
153,2023-06-02 15:00:00+00:00,,
154,2023-06-02 15:15:00+00:00,,
155,2023-06-02 15:30:00+00:00,,
156,2023-06-02 15:45:00+00:00,,
157,2023-06-02 16:00:00+00:00,,
158,2023-06-02 16:15:00+00:00,,
159,2023-06-02 16:30:00+00:00,,
160,2023-06-02 16:45:00+00:00,,
161,2023-06-02 17:00:00+00:00,,
162,2023-06-02 17:15:00+00:00,,
163,2023-06-02 17:30:00+00:00,,
164,2023-06-02 17:45:00+00:00,,
165,2023-06-02 18:00:00+00:00,,
166,2023-06-02 18:15:00+00:00,,
167,2023-06-02 18:30:00+00:00,,
168,2023-06-02 18:45:00+00:00,,
169,2023-06-02 19:00:00+00:00,,
170,2023-06-02 19:15:00+00:00,,
171,2023-06-02 19:30:00+00:00,,
172,2023-06-02 19:45:00+00:00,,
173,2023-06-02 20:00:00+00:00,,
174,2023-06-02 20:15:00+00:00,,
175,2023-06-02 20:30:00+00:00,,
176,2023-06-02 20:45:00+00:00,,
177,2023-06-02 21:00:00+00:00,,
178,2023-06-04 19:00:00+00:00,,
179,2023-06-04 20:00:00+00:00,,
180,2023-06-04 21:00:00+00:00,,
181,2023-06-04 22:00:00+00:00,,
182,2023-06-04 22:15:00+00:00,,
183,2023-06-04 22:30:00+00:00,,
184,2023-06-04 22:45:00+00:00,,
185,2023-06-04 23:00:00+00:00,end_time_checker,CLOSE 100%
186,2023-06-04 23:15:00+00:00,no_more_trades_time_checker,SKIP
187,2023-06-04 23:30:00+00:00,no_more_trades_time_checker,SKIP
188,2023-06-04 23:45:00+00:00,no_more_trades_time_checker,SKIP
189,2023-06-05 00:00:00+00:00,start_time_checker,SKIP
190,2023-06-05 00:15:00+00:00,start_time_checker,SKIP
191,2023-06-05 00:30:00+00:00,start_time_checker,SKIP
192,2023-06-05 00:45:00+00:00,start_time_checker,SKIP
193,2023-06-05 01:00:00+00:00,start_time_checker,SKIP
194,2023-06-05 01:15:00+00:00,start_time_checker,SKIP
195,2023-06-05 01:30:00+00:00,start_time_checker,SKIP
196,2023-06-05 01:45:00+00:00,start_time_checker,SKIP
197,2023-06-05 02:00:00+00:00,start_time_checker,SKIP
198,2023-06-05 02:15:00+00:00,start_time_checker,SKIP
199,2023-06-05 02:30:00+00:00,start_time_checker,SKIP
200,2023-06-05 02:45:00+00:00,start_time_checker,SKIP
201,2023-06-05 03:00:00+00:00,start_time_checker,SKIP
202,2023-06-05 03:15:00+00:00,start_time_checker,SKIP
203,2023-06-05 03:30:00+00:00,start_time_checker,SKIP
204,2023-06-05 03:45:00+00:00,start_time_checker,SKIP
205,2023-06-05 04:00:00+00:00,start_time_checker,SKIP
206,2023-06-05 04:15:00+00:00,start_time_checker,SKIP
207,2023-06-05 04:30:00+00:00,start_time_checker,SKIP
208,2023-06-05 04:45:00+00:00,start_time_checker,SKIP
209,2023-06-05 05:00:00+00:00,start_time_checker,SKIP
210,2023-06-05 05:15:00+00:00,start_time_checker,SKIP
211,2023-06-05 05:30:00+00:00,start_time_checker,SKIP
212,2023-06-05 05:45:00+00:00,start_time_checker,SKIP
213,2023-06-05 06:00:00+00:00,to_buy_order_1_checker,BUY 1%
214,2023-06-05 06:15:00+00:00,,
215,2023-06-05 06:30:00+00:00,,
216,2023-06-05 06:45:00+00:00,,
217,2023-06-05 07:00:00+00:00,,
218,2023-06-05 07:15:00+00:00,,
219,2023-06-05 07:30:00+00:00,,
220,2023-06-05 07:45:00+00:00,,
221,2023-06-05 08:00:00+00:00,,
222,2023-06-05 08:15:00+00:00,,
223,2023-06-05 08:30:00+00:00,,
224,2023-06-05 08:45:00+00:00,,
225,2023-06-05 09:00:00+00:00,,
226,2023-06-05 09:15:00+00:00,,
227,2023-06-05 09:30:00+00:00,,
228,2023-06-05 09:45:00+00:00,,
229,2023-06-05 10:00:00+00:00,,
230,2023-06-05 10:15:00+00:00,,
231,2023-06-05 10:30:00+00:00,,
232,2023-06-05 10:45:00+00:00,,
233,2023-06-05 11:00:00+00:00,,
234,2023-06-05 11:15:00+00:00,,
235,2023-06-05 11:30:00+00:00,,
236,2023-06-05 11:45:00+00:00,,
237,2023-06-05 12:00:00+00:00,,
238,2023-06-05 12:15:00+00:00,,
239,2023-06-05 12:30:00+00:00,,
240,2023-06-05 12:45:00+00:00,,
241,2023-06-05 13:00:00+00:00,,
242,2023-06-05 13:15:00+00:00,,
243,2023-06-05 13:30:00+00:00,,
244,2023-06-05 13:45:00+00:00,,
245,2023-06-05 14:00:00+00:00,,
246,2023-06-05 14:15:00+00:00,,
247,2023-06-05 14:30:00+00:00,,
248,2023-06-05 14:45:00+00:00,,
249,2023-06-05 15:00:00+00:00,,
250,2023-06-05 15:15:00+00:00,,
251,2023-06-05 15:30:00+00:00,,
252,2023-06-05 15:45:00+00:00,,
253,2023-06-05 16:00:00+00:00,,
254,2023-06-05 16:15:00+00:00,,
255,2023-06-05 16:30:00+00:00,,
256,2023-06-05 16:45:00+00:00,,
257,2023-06-05 17:00:00+00:00,,
258,2023-06-05 17:15:00+00:00,,
259,2023-06-05 17:30:00+00:00,,
260,2023-06-05 17:45:00+00:00,,
261,2023-06-05 18:00:00+00:00,,
262,2023-06-05 18:15:00+00:00,,
263,2023-06-05 18:30:00+00:00,,
264,2023-06-05 18:45:00+00:00,,
265,2023-06-05 19:00:00+00:00,,
266,2023-06-05 19:15:00+00:00,,
267,2023-06-05 19:30:00+00:00,,
268,2023-06-05 19:45:00+00:00,,
269,2023-06-05 20:00:00+00:00,,
270,2023-06-05 20:15:00+00:00,,
271,2023-06-05 20:30:00+00:00,,
272,2023-06-05 20:45:00+00:00,,
273,2023-06-05 21:00:00+00:00,,
274,2023-06-05 22:00:00+00:00,,
275,2023-06-05 22:15:00+00:00,,
276,2023-06-05 22:30:00+00:00,,
277,2023-06-05 22:45:00+00:00,,
278,2023-06-05 23:00:00+00:00,end_time_checker,CLOSE 100%
279,2023-06-05 23:15:00+00:00,no_more_trades_time_checker,SKIP
280,2023-06-05 23:30:00+00:00,no_more_trades_time_checker,SKIP
281,2023-06-05 23:45:00+00:00,no_more_trades_time_checker,SKIP
282,2023-06-06 00:00:00+00:00,start_time_checker,SKIP
283,2023-06-06 00:15:00+00:00,start_time_checker,SKIP
284,2023-06-06 00:30:00+00:00,start_time_checker,SKIP
285,2023-06-06 00:45:00+00:00,start_time_checker,SKIP
286,2023-06-06 01:00:00+00:00,start_time_checker,SKIP
287,2023-06-06 01:15:00+00:00,start_time_checker,SKIP
288,2023-06-06 01:30:00+00:00,start_time_checker,SKIP
289,2023-06-06 01:45:00+00:00,start_time_checker,SKIP
290,2023-06-06 02:00:00+00:00,start_time_checker,SKIP
291,2023-06-06 02:15:00+00:00,start_time_checker,SKIP
292,2023-06-06 02:30:00+00:00,start_time_checker,SKIP
293,2023-06-06 02:45:00+00:00,start_time_checker,SKIP
294,2023-06-06 03:00:00+00:00,start_time_checker,SKIP
295,2023-06-06 03:15:00+00:00,start_time_checker,SKIP
296,2023-06-06 03:30:00+00:00,start_time_checker,SKIP
297,2023-06-06 03:45:00+00:00,start_time_checker,SKIP
298,2023-06-06 04:00:00+00:00,start_time_checker,SKIP
299,2023-06-06 04:15:00+00:00,start_time_checker,SKIP
300,2023-06-06 04:30:00+00:00,start_time_checker,SKIP
301,2023-06-06 04:45:00+00:00,start_time_checker,SKIP
302,2023-06-06 05:00:00+00:00,start_time_checker,SKIP
303,2023-06-06 05:15:00+00:00,start_time_checker,SKIP
304,2023-06-06 05:30:00+00:00,start_time_checker,SKIP
305,2023-06-06 05:45:00+00:00,start_time_checker,SKIP
306,2023-06-06 06:00:00+00:00,,
307,2023-06-06 06:15:00+00:00,,
308,2023-06-06 06:30:00+00:00,,
309,2023-06-06 06:45:00+00:00,,
310,2023-06-06 07:00:00+00:00,,
311,2023-06-06 07:15:00+00:00,,
312,2023-06-06 07:30:00+00:00,,
313,2023-06-06 07:45:00+00:00,,
314,2023-06-06 08:00:00+00:00,,
315,2023-06-06 08:15:00+00:00,,
316,2023-06-06 08:30:00+00:00,,
317,2023-06-06 08:45:00+00:00,,
318,2023-06-06 09:00:00+00:00,to_sell_order_1_checker,SELL 1%
319,2023-06-06 09:15:00+00:00,,
320,2023-06-06 09:30:00+00:00,,
321,2023-06-06 09:45:00+00:00,,
322,2023-06-06 10:00:00+00:00,,
323,2023-06-06 10:15:00+00:00,,
324,2023-06-06 10:30:00+00:00,,
325,2023-06-06 10:45:00+00:00,,
326,2023-06-06 11:00:00+00:00,,
327,2023-06-06 11:15:00+00:00,,
328,2023-06-06 11:30:00+00:00,,
329,2023-06-06 11:45:00+00:00,,
330,2023-06-06 12:00:00+00:00,,
331,2023-06-06 12:15:00+00:00,,
332,2023-06-06 12:30:00+00:00,,
333,2023-06-06 12:45:00+00:00,,
334,2023-06-06 13:00:00+00:00,,
335,2023-06-06 13:15:00+00:00,,
336,2023-06-06 13:30:00+00:00,,
337,2023-06-06 13:45:00+00:00,,
338,2023-06-06 14:00:00+00:00,,
339,2023-06-06 14:15:00+00:00,,
340,2023-06-06 14:30:00+00:00,,
341,2023-06-06 14:45:00+00:00,,
342,2023-06-06 15:00:00+00:00,,
343,2023-06-06 15:15:00+00:00,,
344,2023-06-06 15:30:00+00:00,,
345,2023-06-06 15:45:00+00:00,,
346,2023-06-06 16:00:00+00:00,,
347,2023-06-06 16:15:00+00:00,,
348,2023-06-06 16:30:00+00:00,,
349,2023-06-06 16:45:00+00:00,,
350,2023-06-06 17:00:00+00:00,,
351,2023-06-06 17:15:00+00:00,,
352,2023-06-06 17:30:00+00:00,,
353,2023-06-06 17:45:00+00:00,,
354,2023-06-06 18:00:00+00:00,,
355,2023-06-06 18:15:00+00:00,,
356,2023-06-06 18:30:00+00:00,,
357,2023-06-06 18:45:00+00:00,,
358,2023-06-06 19:00:00+00:00,,
359,2023-06-06 19:15:00+00:00,,
360,2023-06-06 19:30:00+00:00,,
361,2023-06-06 19:45:00+00:00,,
362,2023-06-06 20:00:00+00:00,,
363,2023-06-06 20:15:00+00:00,,
364,2023-06-06 20:30:00+00:00,,
365,2023-06-06 20:45:00+00:00,,
366,2023-06-06 21:00:00+00:00,,
367,2023-06-06 22:00:00+00:00,,
368,2023-06-06 22:15:00+00:00,,
369,2023-06-06 22:30:00+00:00,,
370,2023-06-06 22:45:00+00:00,,
371,2023-06-06 23:00:00+00:00,end_time_checker,CLOSE 100%
372,2023-06-06 23:15:00+00:00,no_more_trades_time_checker,SKIP
373,2023-06-06 23:30:00+00:00,no_more_trades_time_checker,SKIP
374,2023-06-06 23:45:00+00:00,no_more_trades_time_checker,SKIP
375,2023-06-07 00:00:00+00:00,start_time_checker,SKIP
376,2023-06-07 00:15:00+00:00,start_time_checker,SKIP
377,2023-06-07 00:30:00+00:00,start_time_checker,SKIP
378,2023-06-07 00:45:00+00:00,start_time_checker,SKIP
379,2023-06-07 01:00:00+00:00,start_time_checker,SKIP
380,2023-06-07 01:15:00+00:00,start_time_checker,SKIP
381,2023-06-07 01:30:00+00:00,start_time_checker,SKIP
382,2023-06-07 01:45:00+00:00,start_time_checker,SKIP
383,2023-06-07 02:00:00+00:00,start_time_checker,SKIP
384,2023-06-07 02:15:00+00:00,start_time_checker,SKIP
385,2023-06-07 02:30:00+00:00,start_time_checker,SKIP
386,2023-06-07 02:45:00+00:00,start_time_checker,SKIP
387,2023-06-07 03:00:00+00:00,start_time_checker,SKIP
388,2023-06-07 03:15:00+00:00,start_time_checker,SKIP
389,2023-06-07 03:30:00+00:00,start_time_checker,SKIP
390,2023-06-07 03:45:00+00:00,start_time_checker,SKIP
391,2023-06-07 04:00:00+00:00,start_time_checker,SKIP
392,2023-06-07 04:15:00+00:00,start_time_checker,SKIP
393,2023-06-07 04:30:00+00:00,start_time_checker,SKIP
394,2023-06-07 04:45:00+00:00,start_time_checker,SKIP
395,2023-06-07 05:00:00+00:00,start_time_checker,SKIP
396,2023-06-07 05:15:00+00:00,start_time_checker,SKIP
397,2023-06-07 05:30:00+00:00,start_time_checker,SKIP
398,2023-06-07 05:45:00+00:00,start_time_checker,SKIP
399,2023-06-07 06:00:00+00:00,to_sell_order_1_checker,SELL 1%
400,2023-06-07 06:15:00+00:00,,
401,2023-06-07 06:30:00+00:00,,
402,2023-06-07 06:45:00+00:00,,
403,2023-06-07 07:00:00+00:00,,
404,2023-06-07 07:15:00+00:00,,
405,2023-06-07 07:30:00+00:00,,
406,2023-06-07 07:45:00+00:00,,
407,2023-06-07 08:00:00+00:00,,
408,2023-06-07 08:15:00+00:00,,
409,2023-06-07 08:30:00+00:00,,
410,2023-06-07 08:45:00+00:00,,
411,2023-06-07 09:00:00+00:00,,
412,2023-06-07 09:15:00+00:00,,
